INFORMCION GENERAL,,,,,,,,,,DATOS DEL PROPIETARIO,CARACTERISTICAS,,,,,,,,,,,,,SITUACION ,,,,,,,,,,,,,
NO. DE EXPEDIENTE,TIPO AERÓDROMO,DESIGNADOR,NOMBRE,ESTADO,MUNICIPIO,TIPO DE OPERACIÓN,TIPO DE SERVICIO,CLASIFICACION,CLAVE DE REFERENCIA,NOMBRE,ELEV (M),SISTEMA,"LATITUD
°","LATITUD
'","LATITUD
''","LONGITUD
°","LONGITUD
'","LONGITUD
''",ORIENTACION 1A,ORIENTACION 2A,LONGITUD DE PISTA A,ANCHO DE PISTA A,TIPO DE SUPERFICIE A,FECHA DE EXPEDICIÓN,DURACIÓN DEL PERMISO/  AUTORIZACIÓN,FECHA DE  VENCIMIENTO,MES,AÑO,¿VIGENTE?,SITUACIÓN,AEROPUERTO DE CORDINACIÓN,,,,,,
SP 001,AERÓDROMO,GRN,AEROPUERTO REGIONAL DE GUERRERO NEGRO,BAJA CALIFORNIA,ENSENADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,3-A,EJIDO EL COSTEÑO,3.00,WGS-84,28,1,33.80,114,1,26.40,12,30,"2,200.00",40.00,ASFALTO,04/11/2024,180 DIAS,04/05/2025,MAY,2025,NO,EN TRAMITE,"AEROPUERTO INTERNACIONAL DE TIJUANA, BAJA CALIFORNIA",,,,,,
SP 002,AERÓDROMO,EPZ,LA ESPERANZA ,COAHUILA,MATAMOROS,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,GABRIEL HUGO DE LA MORA ESQUIVIAS ,"1,115.00",,25,31,48.00,103,18,7.00,8,26,"1,100.00",20.00,ASFALTO,18/06/2007,180 DIAS,18/12/2007,DIC,2007,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE TORREON, COAHUILA",,,,,,
SP 003,AERÓDROMO,TLG,TURISMO LAGO GUERRERO,TAMAULIPAS,HUACHINERA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-B,"TURISMO LAGO GUERRERO, S.A.",150.00,NAD 27,24,2,38.90,98,42,18.52,6,24,"1,300.00",15.00,ASFALTO,26/08/2003,90 DÍAS,26/11/2003,NOV,2003,NO,INOPERATIVO,"AEROPUERTO DE CIUDAD VICTORIA, TAMAULIPAS",,,,,,
SP 004,AERÓDROMO,AIB,AGRICOLA LAS ISABELES,CHIHUAHUA,VILLA AHUMADA,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,"AGRICOLA LAS ISABELES, S.P.R. DE R.L.","1,300.00",WGS-84,30,16,27.00,106,44,59.00,18,36,"1,200.00",18.00,TERRACERÍA,15/04/2004,5 AÑOS,15/04/2009,ABR,2009,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CIUDAD JUAREZ, CHIHUAHUA",,,,,,
HP 005,BARCO-HELIPUERTO,HYI,CLARION (ANTES CARTADEDECES),SINALOA,MAZATLAN,DIURNO,SERVICIO PARTICULAR,HELIPUERTO MIXTO,H-1,MT PESCA INDUSTRIAL S.A. DE C.V. ,0.00,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,,,04/04/2025,15 AÑOS,04/04/2040,ABR,2040,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE MAZATLAN, SINALOA",,,,,,
SP 006,AERÓDROMO,ZRA,ZARUPA,CHIHUAHUA,MORELOS,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,HUGO DE LA ROCHA CRUZ,"1,612.00",WGS-84,26,27,44.58,107,47,7.38,14,32,735.00,20.00,TERRACERÍA,11/12/2007,180 DIAS,11/06/2008,JUN,2008,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE CHIHUAHUA, CHIHUAHUA",,,,,,
SP 007,AERÓDROMO,CEB,CAPITAN BIROTES,SINALOA,NAVOLATO,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,MARTÍN LEOBARDO HERAS CAMACHO ,13.00,WGS-84,24,49,54.00,107,40,5.06,8,26,530.00,15.00,TERRACERÍA,19/03/2015,15 AÑOS,19/03/2030,MAR,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE CULIACAN, SINALOA",,,,,,
HP 008,HELIPUERTO,,ARISTOS MEXICO,CIUDAD DE MÉXICO,CUAUHTÉMOC,DIURNO,SERVICIO PARTICULAR,ELEVADO,H-1,"HOTELES ARISTOS, S.A. DE C.V.","2,295.00",NAD 27,19,25,36.90,99,9,49.00,,,,,,SIN AUTORIZACIÓN,SIN AUTORIZACIÓN,SIN AUTORIZACIÓN,NOV,2003,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO, CIUDAD DE MEXICO",,,,,,
SP 009,AERÓDROMO,MBY,MACHO BAYO,DURANGO,OTAEZ,DIURNO,SERVICIO PARTICULAR,TERRESTRE,1-A,COMISARIADO EJIDAL DEL POBLADO BANOME ,"2,425.00",WGS-84,24,44,46.00,106,13,13.00,12,30,700.00,12.00,TERRACERÍA,02/10/2009,5 AÑOS,02/10/2014,OCT,2014,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO",,,,,,
SP 010,AERÓDROMO,ACC,CABO CORTES,BAJA CALIFORNIA SUR,LOS CABOS,DIURNO,SERVICIO PARTICULAR,TERRESTRE,2-A,"LA RIVERA DESARROLLO BCS, S. DE R.L. DE C.V.",17.00,WGS-84,23,30,39.60,109,28,56.70,7,25,825.00,22.00,TERRACERÍA,01/10/2015,15 AÑOS,01/10/2030,OCT,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE LOS CABOS, BAJA CALIFORNIA SUR",,,,,,
