,,,,,,,,Sistema Aeroportuario Mexicano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEROPUERTO/AERÓDROMO,,,,,,UBICACIÓN,,DATOS ASIGNACIÓN - CONCESIÓN - PERMISO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,CÓDIGO IATA,CÓDIGO OACI,NOMBRE DEL AEROPUERTO,AEROPUERTO,AERÓDROMO,ESTADO,MUNICIPIO,CONCESIONARIO/PERMISIONARIO U OPERADOR,"GRUPO
OPERADOR PERMISIONARIO",TIPO DE OPERACIÓN PERMITIDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ACA,MMAA,ACAPULCO ,ACAPULCO ,,GUERRERO,ACAPULCO,"AEROPUERTO DE ACAPULCO, SA DE CV",OMA,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AGU,MMAS,AEROPUERTO  JESÚS TERÁN,AGUASCALIENTES,,AGUASCALIENTES,AGUASCALIENTES,"AEROPUERTO DE AGUASCALIENTES, SA DE CV",GAP,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AZP,MMJC,ATIZAPÁN,,ATIZAPÁN,ESTADO DE MÉXICO,ATIZAPAN DE ZARAGOZA,"SISTEMAS DE AUTOPISTAS, AEROPUERTOS, SERVICIOS CONEXOS Y AUXILIARES DE ESTADO DE MÉXICO (SAASCAEM) ",ESTATAL,"destinado a los propios fines del permisionario, o a los de terceros con quienes libremente contrate, siempre que se presten al transporte aéreo nacional, ya sea privado no comercial o comercial y no regular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CSL,MMSL,CABO SAN LUCAS,,CABO SAN LUCAS,BAJA CALIFORNIA SUR,CABO SAN LUCAS,"AEROPUERTO CABO SAN LUCAS INTERNACIONAL, SA DE CV",PARTICULAR,"permiso que otorga la facultad de dar atención a las aeronaves, personas pasajeras, carga y correo del servicio de transporte aéreo Nacional e Internacional no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CPE,MMCP,ING ALBERTO ACUÑA ONGAY,CAMPECHE,,CAMPECHE,CAMPECHE,"GRUPO AEROPORTUARIO, FERROVIARIO, DE SERVICIOS AUXILIARES Y CONEXOS, OLMECA-MAYA-MEXICA, SA DE CV",GAFSACOMM,"servicio de transporte Internacional aéreo regular y no regular, así como de servicios aéreos a terceros y operaciones de aeronaves para uso particular",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
